# Creado por Alejandro Venegas Robles. En caso de incidencias, contactar con alejandro2196vr@gmail.com
TIPO;TERMINOS_BUSQUEDA;ALERTA_CDI;TEXTO_NORMATIVO;REQUIERE_ARBOL
Procedimiento;toracocentesis|pleurocentesis|drenaje pleural|puncion pleural;Especifique 3 ejes obligatorios para CIE-10-PCS: 1. Lateralidad (Der/Izq). 2. Fin (Diagnóstico/Terapéutico). 3. Dispositivo (Punción simple vs Tubo de drenaje dejado in situ).;Drenaje percutáneo de cavidad pleural [Derecha / Izquierda] con fines [Diagnósticos / Terapéuticos]. Dispositivo: [Ninguno / Tubo de drenaje].;TRUE
Procedimiento;puncion lumbar|extraccion lcr|puncion espinal|raquicentesis|pl;Procedimiento invasivo de alto impacto. La CIE-10-PCS exige especificar obligatoriamente si el objetivo de la extracción de LCR fue Diagnóstico (análisis) o Terapéutico (ej. aliviar presión intracraneal).;Drenaje percutáneo de canal espinal con fines [Diagnósticos / Terapéuticos]. Dispositivo: Ninguno.;TRUE
Procedimiento;paracentesis|drenaje ascitico|puncion ascitica|drenaje peritoneal|puncion abdominal;Especifique 2 ejes obligatorios para CIE-10-PCS: 1. Fin (Diagnóstico/Terapéutico). 2. Dispositivo (Punción simple vs Tubo de drenaje dejado in situ).;Drenaje percutáneo de cavidad peritoneal con fines [Diagnósticos / Terapéuticos]. Dispositivo: [Ninguno / Tubo de drenaje].;TRUE
Procedimiento;artrocentesis|puncion articular|drenaje articular|extraccion liquido sinovial;Documente la articulación exacta intervenida y el objetivo clínico de la extracción de líquido sinovial.;Drenaje percutáneo de [Articulación] con fines [Diagnósticos / Terapéuticos]. Dispositivo: Ninguno.;TRUE
Procedimiento;via central|cvc|picc|cateter venoso|drum;Impacto directo en la complejidad. Especifique siempre el abordaje percutáneo y la vena exacta canulada.;Inserción percutánea de dispositivo de infusión en vena central [Yugular / Subclavia / Cava Superior / Basílica / Cefálica].;TRUE
Procedimiento;cardioversion|choque electrico;Procedimiento de alto impacto. Especifique si fue farmacológica o eléctrica.;Cardioversión [Eléctrica / Farmacológica] de ritmo cardíaco.;TRUE
Procedimiento;pet|pet-tc|pet tc|tomografia por emision de positrones;Para contabilidad analítica y justificación de estancias: Especifique localización y el radiofármaco utilizado (ej. FDG).;Tomografía por emisión de positrones (PET-TC) de [Cuerpo entero / Tórax / Cerebro] con [Fluorodeoxiglucosa 18F / Otro radiofármaco].;TRUE
Procedimiento;tc|tac|tomografia|escaner;Para contabilidad analítica: Especifique localización anatómica y si se administró contraste IV.;Tomografía computarizada de [Cráneo / Tórax / Abdomen y Pelvis] [con / sin] contraste intravenoso.;TRUE
Procedimiento;rm|resonancia magnetica|rnm;Para contabilidad analítica: Especifique localización y administración de contraste paramagnético (Gadolinio).;Resonancia magnética de [Cráneo / Columna / Abdomen] [con / sin] contraste.;TRUE
Procedimiento;ecocardio|ecocardiograma|ett|ete;Imprescindible documentar el abordaje de la sonda ultrasónica.;Ecocardiograma [Transtorácico / Transesofágico].;TRUE
Procedimiento Omitido;ecg|electrocardiograma|electro;Prueba diagnóstica de rutina explícitamente excluida del CMBD. No requiere codificación.;[NO PRECISA CODIFICACIÓN];FALSE
Procedimiento Omitido;sondaje vesical|sonda foley|cateterismo vesical;Procedimiento rutinario excluido del CMBD (salvo complicación mecánica o infecciosa explícita).;[NO PRECISA CODIFICACIÓN];FALSE
Procedimiento Omitido;via periferica|cateter venoso periferico|abocath;Procedimiento rutinario excluido. Solo se codifican los accesos venosos centrales (CVC, PICC, Reservorio).;[NO PRECISA CODIFICACIÓN];FALSE
Procedimiento Omitido;sng|sonda nasogastrica|sondaje nasogastrico;Procedimiento excluido del CMBD en hospitalización médica convencional.;[NO PRECISA CODIFICACIÓN];FALSE
